field,value,n
difficulty_band,boundary,28
difficulty_band,easy_positive,65
difficulty_band,hard_or_bad,7
difficulty_band,strong_disagreement,60
source_bucket,cross_judge_disagreement,13
source_bucket,deterministic_failure,22
source_bucket,primary_vlm_flagged,40
source_bucket,supplemental_vlm_consensus_accepted,20
source_bucket,vlm_consensus_accepted,43
source_bucket,weak_judge_only_flag,22
query_type,ambiguous,42
query_type,explicit,56
query_type,multi_turn,27
query_type,unanswerable,1
query_type,underspecified,34
language,,4
language,en,30
language,vi,126
expected_chart_family,area,1
expected_chart_family,bar,79
expected_chart_family,bubble_chart,1
expected_chart_family,heatmap,1
expected_chart_family,line,60
expected_chart_family,none,1
expected_chart_family,point,1
expected_chart_family,tick_plot,16
