comparison,overall_n,overall_kappa,overall_agreement_pct,chart_family_n,chart_family_kappa,chart_family_agreement_pct,labels_n,labels_kappa,labels_agreement_pct,fields_n,fields_kappa,fields_agreement_pct,transform_n,transform_kappa,transform_agreement_pct,model,human,missing
Expert 1 vs bakllava_latest,37,-0.0025806451612903304,43.24324324324324,37,-0.012573964497041422,0.0,37,0.024114544084400905,5.405405405405405,37,-0.029366306027820706,2.7027027027027026,37,0.0,2.7027027027027026,bakllava_latest,Expert 1,203
Expert 2 vs bakllava_latest,37,-0.08823529411764693,40.54054054054054,37,-0.014074074074074074,0.0,37,0.021903323262839874,5.405405405405405,37,-0.019908116385911175,2.7027027027027026,37,0.0,2.7027027027027026,bakllava_latest,Expert 2,203
Expert 3 vs bakllava_latest,37,-0.08823529411764693,40.54054054054054,37,-0.013323464100666175,0.0,37,0.019682059046177137,5.405405405405405,37,-0.04583651642475173,0.0,37,0.0,2.7027027027027026,bakllava_latest,Expert 3,203
Expert 4 vs bakllava_latest,37,-0.0503225806451613,40.54054054054054,37,-0.014825796886582657,0.0,37,0.017450682852807282,5.405405405405405,37,-0.024615384615384612,2.7027027027027026,37,0.0,2.7027027027027026,bakllava_latest,Expert 4,203
Expert 5 vs bakllava_latest,37,-0.0503225806451613,40.54054054054054,37,-0.012573964497041422,0.0,37,0.017450682852807282,5.405405405405405,37,0.02782071097372489,8.108108108108109,37,0.0,2.7027027027027026,bakllava_latest,Expert 5,203
Expert 1 vs deepseek_ocr_3b,24,-0.0267379679144385,0.0,24,-0.02127659574468085,0.0,24,0.026455026455026454,4.166666666666666,24,0.010752688172043008,4.166666666666666,24,0.0,4.166666666666666,deepseek_ocr_3b,Expert 1,216
Expert 2 vs deepseek_ocr_3b,24,-0.02857142857142857,0.0,24,-0.02309058614564831,0.0,24,0.024734982332155476,4.166666666666666,24,0.014285714285714285,4.166666666666666,24,0.0,4.166666666666666,deepseek_ocr_3b,Expert 2,216
Expert 3 vs deepseek_ocr_3b,24,-0.030411449016100177,0.0,24,-0.02309058614564831,0.0,24,0.023008849557522124,4.166666666666666,24,-0.0267379679144385,0.0,24,0.0,4.166666666666666,deepseek_ocr_3b,Expert 3,216
Expert 4 vs deepseek_ocr_3b,24,-0.0267379679144385,0.0,24,-0.02309058614564831,0.0,24,-0.019469026548672563,0.0,24,0.014285714285714285,4.166666666666666,24,0.0,4.166666666666666,deepseek_ocr_3b,Expert 4,216
Expert 5 vs deepseek_ocr_3b,24,-0.0267379679144385,0.0,24,-0.019469026548672563,0.0,24,-0.019469026548672563,0.0,24,0.012522361359570659,4.166666666666666,24,0.0,4.166666666666666,deepseek_ocr_3b,Expert 5,216
