comparison,overall_n,overall_kappa,overall_agreement_pct,chart_family_n,chart_family_kappa,chart_family_agreement_pct,labels_n,labels_kappa,labels_agreement_pct,fields_n,fields_kappa,fields_agreement_pct,transform_n,transform_kappa,transform_agreement_pct,model,missing
openai_gpt_4o vs expert majority,240,-0.01791530944625394,47.91666666666667,240,0.006546014632267796,64.16666666666667,240,0.03973811039374385,63.33333333333333,240,-0.10019646365422392,65.0,240,0.00038029010702450306,4.166666666666666,openai_gpt_4o,0
openai_gpt_4o_mini vs expert majority,240,-0.06073796290095758,45.0,240,0.04233171408743924,61.66666666666667,240,-0.07330761136443349,57.49999999999999,240,-0.040843214756258295,67.08333333333333,240,0.0,0.0,openai_gpt_4o_mini,0
gemini_gemini_2_5_flash vs expert majority,44,-0.21259842519685032,36.36363636363637,44,-0.08333333333333326,70.45454545454545,44,-0.14356435643564347,52.27272727272727,44,-0.11392405063291111,72.72727272727273,44,0.0,50.0,gemini_gemini_2_5_flash,196
qwen3_vl_4b vs expert majority,240,0.032129049460072105,49.583333333333336,240,0.0052910052910049915,60.83333333333333,240,0.009163226261202438,65.83333333333333,240,-0.09527381845461419,69.58333333333333,240,-0.003828158230540341,50.83333333333333,qwen3_vl_4b,0
minicpm_v vs expert majority,240,-0.016648606048665134,46.25,240,0.0,64.16666666666667,240,0.05081627960450693,64.16666666666667,240,-0.054451166810717606,74.58333333333333,240,0.005425907390823367,1.6666666666666667,minicpm_v,0
granite3_2_vision_latest vs expert majority,240,-0.012959220068957252,40.833333333333336,240,-0.008305968707746173,63.74999999999999,240,-0.03416757344940143,58.75,240,-0.035948975647467955,72.08333333333333,240,0.007936507936507593,79.16666666666666,granite3_2_vision_latest,0
qwen2_5vl_3b vs expert majority,240,-0.012459531050721045,46.25,240,-0.008305968707746173,63.74999999999999,240,-0.012341821590376601,66.25,240,0.0028400126222783203,1.25,240,0.00021181952976064177,1.6666666666666667,qwen2_5vl_3b,0
llava_7b vs expert majority,240,-0.00374566261461038,24.166666666666668,240,0.0,0.0,240,-0.1540616246498598,57.08333333333333,240,0.06655710764174189,40.833333333333336,240,0.0,0.0,llava_7b,0
bakllava_latest vs expert majority,37,-0.07117008443908322,35.13513513513514,37,0.006711409395973154,2.7027027027027026,37,-0.007782101167315177,5.405405405405405,37,-0.005434782608695655,5.405405405405405,37,0.0,2.7027027027027026,bakllava_latest,203
deepseek_ocr_3b vs expert majority,24,-0.02309058614564831,0.0,24,0.010752688172043008,4.166666666666666,24,0.008976660682226216,4.166666666666666,24,0.014285714285714285,4.166666666666666,24,0.0,4.166666666666666,deepseek_ocr_3b,216
gemma3_4b vs expert majority,72,0.12261995430312267,55.55555555555556,72,0.0,65.27777777777779,72,0.10280373831775702,55.55555555555556,72,-0.05154639175257781,76.38888888888889,72,-0.03783783783783788,77.77777777777779,gemma3_4b,168
llama3_2_vision_11b vs expert majority,98,-0.020292923945650285,39.795918367346935,98,0.04646071515446364,59.183673469387756,98,-0.060746631323172005,50.0,98,-0.10378117457763514,57.14285714285714,98,-0.028436018957345842,68.36734693877551,llama3_2_vision_11b,142
llava_llama3_8b vs expert majority,129,-0.03107058426207355,44.96124031007752,129,0.0,66.66666666666666,129,-0.009900990099009884,47.286821705426355,129,0.013653741125068583,78.29457364341084,129,-0.013688212927756734,51.93798449612403,llava_llama3_8b,111
qwen3_vl_8b vs expert majority,24,0.10810810810810814,54.166666666666664,24,0.11111111111111101,66.66666666666666,24,0.27272727272727276,58.333333333333336,24,-0.10526315789473678,41.66666666666667,24,0.0,0.0,qwen3_vl_8b,216
