comparison,overall_n,overall_kappa,overall_agreement_pct,chart_family_n,chart_family_kappa,chart_family_agreement_pct,labels_n,labels_kappa,labels_agreement_pct,fields_n,fields_kappa,fields_agreement_pct,transform_n,transform_kappa,transform_agreement_pct,model,human,missing
Expert 1 vs bakllava_latest,37,-0.047565118912797265,32.432432432432435,37,0.00966542750929368,2.7027027027027026,37,-0.03175832687838885,2.7027027027027026,37,0.032307692307692315,8.108108108108109,37,0.0022471910112359553,2.7027027027027026,bakllava_latest,Expert 1,203
Expert 2 vs bakllava_latest,37,-0.0503225806451613,40.54054054054054,37,-0.01860119047619048,0.0,37,-0.02698535080956053,2.7027027027027026,37,-0.02698535080956053,2.7027027027027026,37,-0.02164179104477612,0.0,bakllava_latest,Expert 2,203
Expert 3 vs bakllava_latest,37,-0.047565118912797265,32.432432432432435,37,-0.019359642591213703,0.0,37,-0.005434782608695655,5.405405405405405,37,-0.03416149068322982,2.7027027027027026,37,-0.02623688155922039,0.0,bakllava_latest,Expert 3,203
Expert 4 vs bakllava_latest,37,-0.0025806451612903304,43.24324324324324,37,0.0052277819268110514,2.7027027027027026,37,-0.029366306027820706,2.7027027027027026,37,0.02101167315175097,8.108108108108109,37,0.0022471910112359553,2.7027027027027026,bakllava_latest,Expert 4,203
Expert 5 vs bakllava_latest,37,-0.07117008443908322,35.13513513513514,37,0.008928571428571428,2.7027027027027026,37,-0.003098373353989158,5.405405405405405,37,-0.007782101167315177,5.405405405405405,37,0.004484304932735426,2.7027027027027026,bakllava_latest,Expert 5,203
Expert 1 vs deepseek_ocr_3b,24,-0.019469026548672563,0.0,24,0.014285714285714285,4.166666666666666,24,0.010752688172043008,4.166666666666666,24,0.012522361359570659,4.166666666666666,24,0.0018083182640144674,4.166666666666666,deepseek_ocr_3b,Expert 1,216
Expert 2 vs deepseek_ocr_3b,24,-0.02309058614564831,0.0,24,0.0160427807486631,4.166666666666666,24,-0.030411449016100177,0.0,24,-0.0267379679144385,0.0,24,0.008976660682226216,4.166666666666666,deepseek_ocr_3b,Expert 2,216
Expert 3 vs deepseek_ocr_3b,24,-0.02309058614564831,0.0,24,0.007194244604316543,4.166666666666666,24,0.010752688172043008,4.166666666666666,24,0.010752688172043008,4.166666666666666,24,0.0018083182640144674,4.166666666666666,deepseek_ocr_3b,Expert 3,216
Expert 4 vs deepseek_ocr_3b,24,-0.02491103202846975,0.0,24,0.010752688172043008,4.166666666666666,24,-0.0267379679144385,0.0,24,0.010752688172043008,4.166666666666666,24,-0.03971119133574007,0.0,deepseek_ocr_3b,Expert 4,216
Expert 5 vs deepseek_ocr_3b,24,-0.02309058614564831,0.0,24,-0.02857142857142857,0.0,24,0.012522361359570659,4.166666666666666,24,0.012522361359570659,4.166666666666666,24,-0.03597122302158273,0.0,deepseek_ocr_3b,Expert 5,216
