comparison,overall_n,overall_kappa,overall_agreement_pct,chart_family_n,chart_family_kappa,chart_family_agreement_pct,labels_n,labels_kappa,labels_agreement_pct,fields_n,fields_kappa,fields_agreement_pct,transform_n,transform_kappa,transform_agreement_pct,model,missing
openai_gpt_4o vs human majority,240,0.09090909090909086,53.333333333333336,240,-0.010101010101017115,97.91666666666666,240,-0.09090909090909083,73.75,240,-0.00017364125716217373,80.0,240,0.00038029010702450306,4.166666666666666,openai_gpt_4o,0
openai_gpt_4o_mini vs human majority,240,0.15955176093916754,56.25,240,-0.022727272727273262,85.0,240,-0.07812499999999971,71.25,240,-0.04420466411416661,79.16666666666666,240,0.0,0.0,openai_gpt_4o_mini,0
gemini_gemini_2_5_flash vs human majority,44,0.09836065573770461,77.27272727272727,44,-0.031250000000000736,93.18181818181817,44,-0.15789473684210523,72.72727272727273,44,0.3888888888888886,88.63636363636364,44,0.0,50.0,gemini_gemini_2_5_flash,196
qwen3_vl_4b vs human majority,240,0.14103923647932143,55.00000000000001,240,-0.02325581395348872,86.25,240,0.032679738562091054,84.58333333333333,240,-0.014672966923650735,85.83333333333333,240,-0.003828158230540341,50.83333333333333,qwen3_vl_4b,0
minicpm_v vs human majority,240,0.06103286384976521,50.0,240,0.0,98.75,240,-0.038724373576310527,76.25,240,-0.0394110004330871,91.66666666666666,240,0.0012116103882421113,1.25,minicpm_v,0
granite3_2_vision_latest vs human majority,240,0.00047258979206047096,41.25,240,-0.006289308176101599,98.33333333333333,240,0.0018903591682414564,72.5,240,-0.066814835393804,86.66666666666667,240,-0.011904761904762182,78.75,granite3_2_vision_latest,0
qwen2_5vl_3b vs human majority,240,0.0109034267912772,47.083333333333336,240,-0.006289308176101599,98.33333333333333,240,-0.011857707509880744,86.66666666666667,240,0.0006851842091393032,1.25,240,0.00021181952976064177,1.6666666666666667,qwen2_5vl_3b,0
llava_7b vs human majority,240,0.010320678215997045,25.416666666666664,240,0.0,0.0,240,-0.02857142857142847,77.5,240,0.02777440873256511,30.416666666666664,240,0.0,0.0,llava_7b,0
bakllava_latest vs human majority,37,-0.04062500000000001,51.35135135135135,37,0.0,2.7027027027027026,37,0.007103393843725328,8.108108108108109,37,0.009448818897637795,8.108108108108109,37,0.0,2.7027027027027026,bakllava_latest,203
deepseek_ocr_3b vs human majority,24,-0.02491103202846975,0.0,24,0.0,4.166666666666666,24,0.003610108303249099,4.166666666666666,24,0.003610108303249099,4.166666666666666,24,0.0,4.166666666666666,deepseek_ocr_3b,216
gemma3_4b vs human majority,72,0.02346041055718475,48.61111111111111,72,0.0,98.61111111111111,72,-0.06097560975609754,59.72222222222222,72,-0.03448275862069068,93.05555555555556,72,0.0,81.94444444444444,gemma3_4b,168
llama3_2_vision_11b vs human majority,98,0.29199277543648405,63.26530612244898,98,-0.01950585175552592,83.6734693877551,98,0.02487562189054711,67.3469387755102,98,-0.0030706243602870603,69.38775510204081,98,0.0,71.42857142857143,llama3_2_vision_11b,142
llava_llama3_8b vs human majority,129,0.015267175572518894,66.66666666666666,129,0.0,97.67441860465115,129,0.08650179758143588,49.6124031007752,129,0.11588785046729037,91.47286821705426,129,0.0,52.71317829457365,llava_llama3_8b,111
qwen3_vl_8b vs human majority,24,0.21052631578947378,58.333333333333336,24,0.0,75.0,24,0.10344827586206895,45.83333333333333,24,-0.02439024390243894,41.66666666666667,24,0.0,0.0,qwen3_vl_8b,216
