comparison,overall_n,overall_kappa,overall_agreement_pct,chart_family_n,chart_family_kappa,chart_family_agreement_pct,labels_n,labels_kappa,labels_agreement_pct,fields_n,fields_kappa,fields_agreement_pct,transform_n,transform_kappa,transform_agreement_pct,model,human,missing
Human 1 vs bakllava_latest,37,-0.05397301349325331,48.64864864864865,37,0.0052277819268110514,2.7027027027027026,37,-0.036575875486381325,2.7027027027027026,37,0.016419077404222042,8.108108108108109,37,0.0007501875468867204,2.7027027027027026,bakllava_latest,Human 1,203
Human 2 vs bakllava_latest,37,-0.07117008443908322,35.13513513513514,37,0.0037397157816005957,2.7027027027027026,37,-0.012509773260359666,5.405405405405405,37,0.016419077404222042,8.108108108108109,37,0.005970149253731344,2.7027027027027026,bakllava_latest,Human 2,203
Human 3 vs bakllava_latest,37,-0.09806451612903226,37.83783783783784,37,-0.023934181002243832,0.0,37,0.032307692307692315,8.108108108108109,37,0.023291925465838508,8.108108108108109,37,0.0022471910112359553,2.7027027027027026,bakllava_latest,Human 3,203
Human 4 vs bakllava_latest,37,0.06016042780748676,48.64864864864865,37,0.0014992503748125947,2.7027027027027026,37,0.016419077404222042,8.108108108108109,37,0.025561580170410533,8.108108108108109,37,0.0037397157816005957,2.7027027027027026,bakllava_latest,Human 4,203
Human 5 vs bakllava_latest,37,-0.012968299711815436,48.64864864864865,37,0.0014992503748125947,2.7027027027027026,37,-0.003098373353989158,5.405405405405405,37,0.0187207488299532,8.108108108108109,37,-0.02164179104477612,0.0,bakllava_latest,Human 5,203
Human 1 vs deepseek_ocr_3b,24,-0.02309058614564831,0.0,24,0.008976660682226216,4.166666666666666,24,0.008976660682226216,4.166666666666666,24,0.010752688172043008,4.166666666666666,24,0.0018083182640144674,4.166666666666666,deepseek_ocr_3b,Human 1,216
Human 2 vs deepseek_ocr_3b,24,-0.0176678445229682,0.0,24,0.005405405405405408,4.166666666666666,24,0.003610108303249099,4.166666666666666,24,0.008976660682226216,4.166666666666666,24,0.007194244604316543,4.166666666666666,deepseek_ocr_3b,Human 2,216
Human 3 vs deepseek_ocr_3b,24,-0.02309058614564831,0.0,24,0.003610108303249099,4.166666666666666,24,0.01779359430604982,4.166666666666666,24,0.007194244604316543,4.166666666666666,24,0.003610108303249099,4.166666666666666,deepseek_ocr_3b,Human 3,216
Human 4 vs deepseek_ocr_3b,24,-0.019469026548672563,0.0,24,0.0018083182640144674,4.166666666666666,24,-0.03225806451612903,0.0,24,-0.03225806451612903,0.0,24,0.008976660682226216,4.166666666666666,deepseek_ocr_3b,Human 4,216
Human 5 vs deepseek_ocr_3b,24,-0.02309058614564831,0.0,24,0.003610108303249099,4.166666666666666,24,0.0160427807486631,4.166666666666666,24,0.012522361359570659,4.166666666666666,24,-0.0341113105924596,0.0,deepseek_ocr_3b,Human 5,216
Human 1 vs gemini_gemini_2_5_flash,44,0.014925373134328311,72.72727272727273,44,-0.06451612903225784,86.36363636363636,44,0.12318840579710126,75.0,44,-0.11718749999999935,70.45454545454545,44,-0.05769230769230771,43.18181818181818,gemini_gemini_2_5_flash,Human 1,196
Human 2 vs gemini_gemini_2_5_flash,44,0.0053191489361703375,61.36363636363637,44,-0.06944444444444381,84.0909090909091,44,-0.19565217391304385,65.9090909090909,44,0.45341614906832306,90.9090909090909,44,-0.10791366906474824,36.36363636363637,gemini_gemini_2_5_flash,Human 2,196
Human 3 vs gemini_gemini_2_5_flash,44,-0.0060975609756099,65.9090909090909,44,-0.07317073170731754,81.81818181818183,44,-0.1523809523809524,50.0,44,-0.12460063897763579,63.63636363636363,44,0.0018903591682419092,45.45454545454545,gemini_gemini_2_5_flash,Human 3,196
Human 4 vs gemini_gemini_2_5_flash,44,0.493421052631579,84.0909090909091,44,-0.047619047619050114,90.9090909090909,44,-0.18461538461538532,68.18181818181817,44,0.44303797468354444,86.36363636363636,44,0.05283757338551867,50.0,gemini_gemini_2_5_flash,Human 4,196
Human 5 vs gemini_gemini_2_5_flash,44,-0.0060975609756099,65.9090909090909,44,-0.047619047619050114,90.9090909090909,44,0.2142857142857144,75.0,44,0.29357798165137655,84.0909090909091,44,0.10037174721189587,50.0,gemini_gemini_2_5_flash,Human 5,196
Human 1 vs gemma3_4b,72,-0.029325513196480964,45.83333333333333,72,0.0,88.88888888888889,72,-0.05154639175257704,52.77777777777778,72,-0.05109489051094859,77.77777777777779,72,-0.06542056074766316,73.61111111111111,gemma3_4b,Human 1,168
Human 2 vs gemma3_4b,72,0.04721030042918436,48.61111111111111,72,0.0,93.05555555555556,72,-0.1661129568106311,45.83333333333333,72,-0.052631578947368224,72.22222222222221,72,-0.06508875739644938,65.27777777777779,gemma3_4b,Human 2,168
Human 3 vs gemma3_4b,72,-0.08469055374592836,48.61111111111111,72,0.0,83.33333333333334,72,-0.09248554913294786,41.66666666666667,72,-0.05230769230769186,73.61111111111111,72,-0.02857142857142828,72.22222222222221,gemma3_4b,Human 3,168
Human 4 vs gemma3_4b,72,-0.030726256983240365,43.05555555555556,72,0.0,94.44444444444444,72,-0.006993006993006771,55.55555555555556,72,0.06493506493506478,77.77777777777779,72,0.011441647597253891,66.66666666666666,gemma3_4b,Human 4,168
Human 5 vs gemma3_4b,72,0.12903225806451607,54.166666666666664,72,0.0,88.88888888888889,72,-0.06542056074766361,47.22222222222222,72,-0.05194805194805219,75.0,72,-0.05209656925031743,68.05555555555556,gemma3_4b,Human 5,168
Human 1 vs granite3_2_vision_latest,240,0.010234798314268476,42.916666666666664,240,-0.008064516129031366,89.58333333333334,240,0.03163138231631352,66.25,240,-0.041009463722396805,77.08333333333334,240,0.008620689655172611,71.25,granite3_2_vision_latest,Human 1,0
