comparison,overall_n,overall_kappa,overall_agreement_pct,chart_family_n,chart_family_kappa,chart_family_agreement_pct,labels_n,labels_kappa,labels_agreement_pct,fields_n,fields_kappa,fields_agreement_pct,transform_n,transform_kappa,transform_agreement_pct
Human 1 vs Human 2,240,0.3121286263544214,65.83333333333333,240,-0.11363636363636383,79.58333333333333,240,0.03936711245055608,64.58333333333334,240,-0.08823529411764713,69.16666666666667,240,0.08701854493580594,80.0
Human 1 vs Human 3,240,0.16753381893860564,58.333333333333336,240,-0.05468749999999969,77.5,240,-0.10933691906882918,54.166666666666664,240,0.09482758620689657,70.83333333333334,240,0.02008819206271436,79.16666666666666
Human 1 vs Human 4,240,0.49843260188087773,75.0,240,-0.08695652173913107,83.33333333333334,240,-0.02492799682192846,64.16666666666667,240,0.0,71.66666666666667,240,0.07621247113164026,79.16666666666666
Human 1 vs Human 5,240,0.4631247815449142,73.33333333333333,240,5.551115123125781e-16,80.0,240,0.07883387959289305,62.916666666666664,240,0.03389830508474598,68.33333333333333,240,0.030085316569376228,77.5
Human 2 vs Human 3,240,0.2861589541398631,64.16666666666667,240,-0.020866773675762104,77.91666666666667,240,-0.08281329060549811,55.41666666666667,240,-0.04591836734693882,65.83333333333333,240,0.02658855340243337,77.5
Human 2 vs Human 4,240,0.3759224119755428,69.16666666666667,240,-0.03539823008849545,83.75,240,0.0038007601520306795,65.41666666666667,240,0.018759018759018996,71.66666666666667,240,-0.06209850107066346,74.16666666666667
Human 2 vs Human 5,240,0.3674763159769213,69.16666666666667,240,-0.046153846153846836,78.75,240,-0.018358157256667642,59.166666666666664,240,0.07151819322459235,69.16666666666667,240,-0.06978687839532038,73.33333333333333
Human 3 vs Human 4,240,0.26803909336660425,63.33333333333333,240,-0.011730205278592453,80.83333333333333,240,0.10174949952128153,64.16666666666667,240,0.03061224489795921,68.33333333333333,240,-0.01828822238478425,75.83333333333333
Human 3 vs Human 5,240,0.16995227225565473,58.333333333333336,240,-0.009009009009008494,76.66666666666667,240,0.031484737094454276,57.91666666666667,240,-0.058282208588957295,61.66666666666667,240,-0.0608869242834735,74.16666666666667
Human 4 vs Human 5,240,0.4096563356525406,70.83333333333334,240,0.09523809523809551,84.16666666666667,240,-0.08855757140290976,57.91666666666667,240,-0.0037641154328731936,66.66666666666666,240,-0.07828454731109603,72.5
