model,case_family,n,reject_pct,accept_pct,chart_family_match_pct,labels_match_pct,readable_pct,conservative_issue_counts
llava:7b,cross_or_weak_judge_disagreement,22,95.455,4.545,100.0,0.0,90.909,"{""none"": 1, ""wrong_fields"": 19, ""wrong_fields|unreadable"": 2}"
llava:7b,major_visual_sanity_failure,70,74.286,25.714,35.714,70.0,97.143,"{""none"": 18, ""wrong_chart_type"": 44, ""wrong_fields"": 8}"
llava:7b,primary_vlm_flagged,60,76.667,23.333,100.0,0.0,98.333,"{""none"": 14, ""unreadable"": 1, ""wrong_fields"": 45}"
llava:7b,repair_confirmed_known_bad,8,75.0,25.0,100.0,0.0,100.0,"{""none"": 2, ""wrong_fields"": 6}"
llava:7b,strict_transform_failure,70,44.286,55.714,100.0,0.0,98.571,"{""none"": 39, ""wrong_fields"": 31}"
minicpm-v,cross_or_weak_judge_disagreement,22,0.0,100.0,100.0,77.273,100.0,"{""none"": 22}"
minicpm-v,major_visual_sanity_failure,70,8.571,91.429,97.143,5.714,91.429,"{""empty_or_broken"": 2, ""missing_labels"": 2, ""none"": 64, ""wrong_chart_type"": 2}"
minicpm-v,primary_vlm_flagged,60,5.0,95.0,98.333,26.667,95.0,"{""none"": 57, ""wrong_chart_type"": 1, ""wrong_fields"": 2}"
minicpm-v,repair_confirmed_known_bad,8,0.0,100.0,100.0,0.0,100.0,"{""none"": 8}"
minicpm-v,strict_transform_failure,70,0.0,100.0,100.0,91.429,100.0,"{""none"": 70}"
moondream,cross_or_weak_judge_disagreement,22,4.545,95.455,22.727,81.818,95.455,"{""missing"": 1, ""none"": 21}"
moondream,major_visual_sanity_failure,70,1.429,98.571,70.0,94.286,98.571,"{""missing"": 1, ""none"": 69}"
moondream,primary_vlm_flagged,60,6.667,93.333,35.0,86.667,93.333,"{""missing"": 4, ""none"": 56}"
moondream,repair_confirmed_known_bad,8,0.0,100.0,50.0,100.0,100.0,"{""none"": 8}"
moondream,strict_transform_failure,70,0.0,100.0,31.429,87.143,100.0,"{""none"": 70}"
qwen2.5vl:3b,cross_or_weak_judge_disagreement,22,0.0,100.0,100.0,100.0,100.0,"{""none"": 22}"
qwen2.5vl:3b,major_visual_sanity_failure,70,10.0,90.0,90.0,100.0,100.0,"{""none"": 63, ""wrong_chart_type"": 7}"
qwen2.5vl:3b,primary_vlm_flagged,60,0.0,100.0,100.0,100.0,100.0,"{""none"": 60}"
qwen2.5vl:3b,repair_confirmed_known_bad,8,0.0,100.0,100.0,100.0,100.0,"{""none"": 8}"
qwen2.5vl:3b,strict_transform_failure,70,0.0,100.0,100.0,100.0,100.0,"{""none"": 70}"
qwen3-vl:4b,cross_or_weak_judge_disagreement,22,0.0,100.0,100.0,100.0,100.0,"{""none"": 22}"
qwen3-vl:4b,major_visual_sanity_failure,70,28.571,71.429,70.0,100.0,100.0,"{""none"": 50, ""wrong_chart_type"": 20}"
qwen3-vl:4b,primary_vlm_flagged,60,98.333,1.667,3.333,98.333,98.333,"{""none"": 1, ""wrong_chart_type"": 57, ""wrong_fields"": 2}"
qwen3-vl:4b,repair_confirmed_known_bad,8,100.0,0.0,0.0,100.0,100.0,"{""wrong_chart_type"": 8}"
qwen3-vl:4b,strict_transform_failure,70,0.0,100.0,100.0,100.0,100.0,"{""none"": 70}"
